ts,voltage
558.4,9.877
559.4,9.836
560.4,9.786
561.4,9.844
562.4,9.786
563.4,9.836
564.4,9.852
565.4,9.811
566.4,9.877
567.4,9.861
568.4,9.861
569.4,9.836
570.4,9.827
571.4,9.819
572.4,9.877
573.4,9.861
574.4,9.877
575.4,9.836
576.4,9.861
577.4,9.819
578.4,9.877
579.4,9.811
580.4,9.852
581.4,9.861
582.4,9.827
583.4,9.869
584.4,9.885
585.4,9.836
586.4,9.877
587.4,9.869
588.4,9.869
589.4,9.827
590.4,9.902
591.4,9.869
592.4,9.852
593.4,9.861
594.4,9.885
595.4,9.852
596.4,9.852
597.4,9.869
598.4,9.869
599.4,9.885
600.4,9.852
601.4,9.885
602.4,9.861
603.4,9.894
604.4,9.819
605.4,9.836
606.4,9.885
607.4,9.844
608.4,9.894
609.4,9.877
610.4,9.877
611.4,9.885
612.4,9.877
613.4,9.902
614.4,9.869
615.4,9.844
616.4,9.852
617.4,9.902
618.4,9.861
619.4,9.885
620.4,9.877
621.4,9.861
622.4,9.918
623.4,9.902
624.4,9.861
625.4,9.869
626.4,9.869
627.4,9.844
628.4,9.852
629.4,9.869
630.4,9.869
631.4,9.927
632.4,9.869
633.4,9.836
634.4,9.894
635.4,9.894
636.4,9.861
637.4,9.869
638.4,9.885
639.4,9.894
640.4,9.844
641.4,9.852
642.4,9.844
643.4,9.869
644.4,9.844
645.4,9.861
646.4,9.852
647.4,9.827
648.4,9.827
649.4,9.877
650.4,9.877
651.4,9.869
652.4,9.894
653.4,9.869
654.4,9.836
655.4,9.885
656.4,9.894
657.4,9.844
