ts,latitude,longitude,satellites
80.57,39.38959503173828,-8.284171104431152,6
80.77,39.389610290527344,-8.28415298461914,6
80.97,39.389625549316406,-8.28412914276123,5
81.17,39.38964080810547,-8.284098625183105,5
81.37,39.389644622802734,-8.284059524536133,5
81.57,39.38966369628906,-8.284040451049805,5
81.77,39.389686584472656,-8.284024238586426,5
81.87,39.389686584472656,-8.284024238586426,5
82.17,39.38972091674805,-8.283980369567871,5
82.37,39.389739990234375,-8.283954620361328,5
82.57,39.38975143432617,-8.283935546875,5
82.77,39.389766693115234,-8.283917427062988,5
83.17,39.3897819519043,-8.28390121459961,5
83.27,39.38979721069336,-8.283885955810547,5
83.37,39.38981628417969,-8.283869743347168,6
83.57,39.389835357666016,-8.283856391906738,6
83.77,39.38985061645508,-8.283838272094727,6
83.87,39.38985061645508,-8.283838272094727,6
83.97,39.38986587524414,-8.283823013305664,6
84.37,39.38990020751953,-8.283791542053223,6
84.57,39.38991928100586,-8.283772468566895,6
84.77,39.38993453979492,-8.283761978149414,6
84.97,39.38995361328125,-8.283748626708984,6
85.17,39.38997268676758,-8.28372859954834,6
85.37,39.389991760253906,-8.283712387084961,6
85.57,39.390010833740234,-8.283697128295898,6
85.77,39.39003372192383,-8.283670425415039,6
85.87,39.39003372192383,-8.283670425415039,6
86.17,39.39006423950195,-8.283629417419434,6
86.37,39.390079498291016,-8.283609390258789,6
86.57,39.39009475708008,-8.283591270446777,6
86.77,39.39011764526367,-8.283574104309082,6
86.97,39.39013671875,-8.283556938171387,6
87.17,39.39015579223633,-8.283539772033691,6
87.37,39.39017868041992,-8.283520698547363,6
87.57,39.39019775390625,-8.28349781036377,6
87.77,39.390220642089844,-8.283476829528809,6
87.87,39.390220642089844,-8.283476829528809,6
87.97,39.39023971557617,-8.283452987670898,6
88.17,39.3902587890625,-8.283426284790039,6
88.37,39.390281677246094,-8.283402442932129,6
88.57,39.39030075073242,-8.283378601074219,6
88.77,39.390316009521484,-8.283353805541992,6
88.97,39.39033126831055,-8.283327102661133,6
89.17,39.39034652709961,-8.283304214477539,6
89.37,39.39036560058594,-8.28328800201416,6
89.57,39.390380859375,-8.283262252807617,6
89.77,39.39039611816406,-8.283235549926758,6
89.87,39.39039611816406,-8.283235549926758,6
90.17,39.390419006347656,-8.283196449279785,6
90.37,39.39043045043945,-8.283178329467773,6
90.57,39.39044189453125,-8.283160209655762,6
90.77,39.39045333862305,-8.283150672912598,6
90.97,39.39045333862305,-8.283150672912598,6
91.17,39.390472412109375,-8.283132553100586,6
91.37,39.39048767089844,-8.283122062683105,6
91.57,39.390499114990234,-8.283116340637207,6
91.77,39.39051055908203,-8.283114433288574,6
91.87,39.39051055908203,-8.283114433288574,6
92.17,39.39054870605469,-8.283064842224121,6
92.37,39.390567779541016,-8.28304672241211,6
92.57,39.390586853027344,-8.283025741577148,6
92.77,39.390602111816406,-8.28300666809082,6
93.17,39.3906364440918,-8.282968521118164,6
93.37,39.390655517578125,-8.282950401306152,6
93.57,39.39067459106445,-8.28293228149414,6
93.77,39.39069366455078,-8.282912254333496,6
93.87,39.39069366455078,-8.282912254333496,5
94.17,39.390724182128906,-8.282870292663574,5
94.37,39.390743255615234,-8.282846450805664,5
94.57,39.3907585144043,-8.28282356262207,5
94.77,39.39077377319336,-8.28280258178711,5
95.17,39.390804290771484,-8.282756805419922,5
95.37,39.39081954956055,-8.282734870910645,5
95.57,39.39082717895508,-8.282712936401367,5
95.77,39.39083480834961,-8.282693862915039,5
95.87,39.39083480834961,-8.282693862915039,5
96.07,39.390846252441406,-8.282675743103027,5
96.17,39.39085388183594,-8.282657623291016,5
96.37,39.390865325927734,-8.282639503479004,5
96.57,39.39087677001953,-8.282621383666992,5
96.77,39.39088821411133,-8.282607078552246,5
96.97,39.390899658203125,-8.282590866088867,5
97.17,39.39091110229492,-8.282576560974121,5
97.37,39.39092254638672,-8.282564163208008,5
97.57,39.39094161987305,-8.282552719116211,6
97.77,39.39095687866211,-8.282540321350098,6
97.87,39.39095687866211,-8.282540321350098,6
98.17,39.3909912109375,-8.282520294189453,6
98.37,39.39100646972656,-8.282511711120605,5
98.57,39.39102554321289,-8.282502174377441,5
98.77,39.39104080200195,-8.28249454498291,5
99.17,39.391075134277344,-8.28248119354248,4
99.37,39.391056060791016,-8.282463073730469,3
99.57,39.39105224609375,-8.282454490661621,3
99.77,39.39105224609375,-8.28244400024414,3
100.17,39.391056060791016,-8.282432556152344,3
100.57,39.39112854003906,-8.282425880432129,4
100.77,39.39115524291992,-8.282395362854004,5
101.17,39.39120864868164,-8.282357215881348,5
101.37,39.3912353515625,-8.282346725463867,6
101.57,39.39126205444336,-8.282333374023438,5
101.77,39.39128494262695,-8.282323837280273,4
102.07,39.39130401611328,-8.282313346862793,193
102.37,39.39134216308594,-8.282281875610352,193
102.57,39.3913688659668,-8.282273292541504,5
102.77,39.39138412475586,-8.282256126403809,6
103.17,39.391414642333984,-8.282211303710938,6
103.37,39.39142608642578,-8.282190322875977,6
103.57,39.391441345214844,-8.282166481018066,6
104.17,39.39149475097656,-8.282115936279297,6
104.37,39.39152145385742,-8.282098770141602,6
104.57,39.391544342041016,-8.282076835632324,6
104.77,39.39156723022461,-8.282054901123047,6
105.17,39.391605377197266,-8.28200912475586,6
105.37,39.391624450683594,-8.281987190246582,6
105.57,39.39164352416992,-8.281965255737305,6
105.77,39.39166259765625,-8.281942367553711,6
106.17,39.391700744628906,-8.281888008117676,6
106.37,39.391719818115234,-8.281864166259766,6
106.57,39.391719818115234,-8.281864166259766,6
106.67,39.391746520996094,-8.281839370727539,6
106.77,39.39175796508789,-8.281815528869629,6
107.17,39.39179229736328,-8.281780242919922,6
107.37,39.39181137084961,-8.281766891479492,6
107.57,39.39182662963867,-8.281756401062012,6
107.87,39.391849517822266,-8.281744956970215,6
108.17,39.39188003540039,-8.281742095947266,6
108.37,39.39189910888672,-8.281740188598633,6
108.57,39.39191818237305,-8.281736373901367,6
108.77,39.39194107055664,-8.281729698181152,6
109.17,39.39198303222656,-8.281709671020508,6
109.37,39.392005920410156,-8.281694412231445,6
109.57,39.392032623291016,-8.2816743850708,6
109.77,39.39205551147461,-8.281654357910156,6
110.17,39.39209747314453,-8.281608581542969,6
110.37,39.392127990722656,-8.281591415405273,6
110.57,39.392154693603516,-8.28156852722168,6
110.77,39.39218521118164,-8.281540870666504,6
111.17,39.39223861694336,-8.281479835510254,6
111.37,39.39226531982422,-8.281447410583496,6
111.57,39.39228439331055,-8.281420707702637,6
111.77,39.392295837402344,-8.281393051147461,6
112.17,39.392337799072266,-8.281332969665527,6
112.37,39.39235305786133,-8.281301498413086,6
112.57,39.392372131347656,-8.281270027160645,6
112.77,39.39238357543945,-8.281243324279785,6
113.17,39.39242172241211,-8.281185150146484,6
113.37,39.39244079589844,-8.281155586242676,6
113.57,39.3924560546875,-8.2811279296875,6
113.77,39.3924674987793,-8.281100273132324,6
114.17,39.392494201660156,-8.281044006347656,6
114.37,39.39250564575195,-8.281018257141113,6
114.57,39.39251708984375,-8.280994415283203,6
114.77,39.39252853393555,-8.28096866607666,6
115.17,39.39255142211914,-8.28092098236084,6
115.37,39.39256286621094,-8.280899047851562,6
115.57,39.39256286621094,-8.280899047851562,6
115.67,39.39257049560547,-8.280881881713867,6
115.77,39.392578125,-8.280862808227539,6
116.17,39.392608642578125,-8.280824661254883,6
116.37,39.39262390136719,-8.280807495117188,6
116.57,39.39263916015625,-8.280792236328125,6
116.77,39.39265441894531,-8.28077507019043,6
117.17,39.39269256591797,-8.280741691589355,6
117.37,39.39271545410156,-8.28072452545166,6
117.57,39.392738342285156,-8.280709266662598,6
117.77,39.39276123046875,-8.280692100524902,6
118.17,39.3928108215332,-8.280660629272461,6
118.37,39.39282989501953,-8.280649185180664,6
118.57,39.392852783203125,-8.280630111694336,6
118.77,39.392879486083984,-8.280610084533691,6
119.17,39.392921447753906,-8.280567169189453,6
119.37,39.3929443359375,-8.280542373657227,6
119.57,39.392967224121094,-8.280513763427734,6
119.77,39.392982482910156,-8.280486106872559,6
119.97,39.39299774169922,-8.280460357666016,6
120.17,39.39301681518555,-8.280441284179688,6
120.37,39.39303207397461,-8.28041934967041,6
120.57,39.39304733276367,-8.280397415161133,6
120.77,39.393062591552734,-8.280376434326172,6
121.17,39.393089294433594,-8.280335426330566,6
121.37,39.39310073852539,-8.280316352844238,6
121.57,39.39311599731445,-8.280301094055176,6
121.77,39.39312744140625,-8.280288696289062,6
122.17,39.393157958984375,-8.28026008605957,6
122.37,39.39317321777344,-8.280244827270508,6
122.57,39.393192291259766,-8.280229568481445,6
122.77,39.393211364746094,-8.280213356018066,6
122.97,39.39323425292969,-8.280195236206055,6
123.17,39.393253326416016,-8.280176162719727,6
123.37,39.39327621459961,-8.28015422821045,6
123.57,39.39329528808594,-8.280130386352539,6
123.77,39.393314361572266,-8.280104637145996,6
124.17,39.393348693847656,-8.280051231384277,6
124.37,39.39336395263672,-8.280023574829102,6
124.57,39.393375396728516,-8.279997825622559,6
124.77,39.39339065551758,-8.279973030090332,6
125.17,39.39341354370117,-8.279927253723145,6
125.37,39.39342498779297,-8.279906272888184,6
125.57,39.39344024658203,-8.279889106750488,6
125.77,39.393455505371094,-8.279871940612793,6
126.17,39.39348220825195,-8.279840469360352,6
126.37,39.393497467041016,-8.279826164245605,6
126.57,39.39350891113281,-8.27981185913086,6
126.77,39.39352035522461,-8.27979850769043,6
127.17,39.393550872802734,-8.279772758483887,6
127.37,39.39356994628906,-8.279754638671875,6
127.57,39.39358901977539,-8.279745101928711,6
127.77,39.39360809326172,-8.27973461151123,6
128.17,39.393646240234375,-8.279711723327637,6
128.37,39.3936653137207,-8.27970027923584,6
128.57,39.39368438720703,-8.279683113098145,6
128.77,39.39370346069336,-8.279664039611816,5
